semaine;lundi;souscriptions_creees;souscriptions_validees_02juil;souscriptions_refusees_02juil;validations_du_jour;prescriptions_creees;prescriptions_validees_02juil;eer_demarres_du_jour;leads_utm;visites_nova;visites_portail;depense_totale_eur;ca_souscriptions_creees_eur;ca_prescriptions_creees_eur
S19;2026-05-04;1680;654;252;452;1696;746;532;1830;305148;189874;94596.26;924777.83;931296.11
S20;2026-05-11;1788;742;272;598;1810;750;682;1728;617928;140480;131678.12;988287.06;1013253.68
S21;2026-05-18;2002;788;310;740;1714;704;720;1970;766306;137264;119397.48;1100166.98;963363.15
S22;2026-05-25;2148;902;328;864;1694;662;776;2078;559914;107716;145919.64;1188437.41;960043.78
S23;2026-06-01;2318;942;344;888;1756;718;964;2306;547942;139958;145980.52;1282948.35;968118.94
S24;2026-06-08;1842;696;256;840;1374;464;866;1952;341038;125822;130964.86;1029813.79;755286.95
S25;2026-06-15;2028;804;260;794;1400;432;878;2036;197322;118512;129299.57;1123560.00;776710.25
S26;2026-06-22;1918;674;292;874;1304;376;786;1918;188526;104364;131678.37;1049223.68;711733.84
S27;2026-06-29;1230;204;80;432;958;102;486;1286;118654;49616;148561.66;676039.16;523078.85
